LARGE DATASET AUDIT DUMP | ACCOUNT: 50200012345678 | BILL NO: INV-2026-0098 
TRANSACTION ENTRY #1857 | REF: TXN-00024141 | AMOUNT: Rs. 185700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1858 | REF: TXN-00024154 | AMOUNT: Rs. 185800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1859 | REF: TXN-00024167 | AMOUNT: Rs. 185900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1860 | REF: TXN-00024180 | AMOUNT: Rs. 186000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1861 | REF: TXN-00024193 | AMOUNT: Rs. 186100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1862 | REF: TXN-00024206 | AMOUNT: Rs. 186200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1863 | REF: TXN-00024219 | AMOUNT: Rs. 186300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1864 | REF: TXN-00024232 | AMOUNT: Rs. 186400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1865 | REF: TXN-00024245 | AMOUNT: Rs. 186500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1866 | REF: TXN-00024258 | AMOUNT: Rs. 186600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1867 | REF: TXN-00024271 | AMOUNT: Rs. 186700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1868 | REF: TXN-00024284 | AMOUNT: Rs. 186800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1869 | REF: TXN-00024297 | AMOUNT: Rs. 186900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1870 | REF: TXN-00024310 | AMOUNT: Rs. 187000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1871 | REF: TXN-00024323 | AMOUNT: Rs. 187100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1872 | REF: TXN-00024336 | AMOUNT: Rs. 187200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1873 | REF: TXN-00024349 | AMOUNT: Rs. 187300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1874 | REF: TXN-00024362 | AMOUNT: Rs. 187400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1875 | REF: TXN-00024375 | AMOUNT: Rs. 187500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1876 | REF: TXN-00024388 | AMOUNT: Rs. 187600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1877 | REF: TXN-00024401 | AMOUNT: Rs. 187700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1878 | REF: TXN-00024414 | AMOUNT: Rs. 187800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1879 | REF: TXN-00024427 | AMOUNT: Rs. 187900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1880 | REF: TXN-00024440 | AMOUNT: Rs. 188000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1881 | REF: TXN-00024453 | AMOUNT: Rs. 188100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1882 | REF: TXN-00024466 | AMOUNT: Rs. 188200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1883 | REF: TXN-00024479 | AMOUNT: Rs. 188300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1884 | REF: TXN-00024492 | AMOUNT: Rs. 188400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1885 | REF: TXN-00024505 | AMOUNT: Rs. 188500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1886 | REF: TXN-00024518 | AMOUNT: Rs. 188600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1887 | REF: TXN-00024531 | AMOUNT: Rs. 188700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1888 | REF: TXN-00024544 | AMOUNT: Rs. 188800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1889 | REF: TXN-00024557 | AMOUNT: Rs. 188900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1890 | REF: TXN-00024570 | AMOUNT: Rs. 189000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1891 | REF: TXN-00024583 | AMOUNT: Rs. 189100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1892 | REF: TXN-00024596 | AMOUNT: Rs. 189200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1893 | REF: TXN-00024609 | AMOUNT: Rs. 189300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1894 | REF: TXN-00024622 | AMOUNT: Rs. 189400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1895 | REF: TXN-00024635 | AMOUNT: Rs. 189500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1896 | REF: TXN-00024648 | AMOUNT: Rs. 189600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1897 | REF: TXN-00024661 | AMOUNT: Rs. 189700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1898 | REF: TXN-00024674 | AMOUNT: Rs. 189800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1899 | REF: TXN-00024687 | AMOUNT: Rs. 189900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1900 | REF: TXN-00024700 | AMOUNT: Rs. 190000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1901 | REF: TXN-00024713 | AMOUNT: Rs. 190100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1902 | REF: TXN-00024726 | AMOUNT: Rs. 190200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1903 | REF: TXN-00024739 | AMOUNT: Rs. 190300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1904 | REF: TXN-00024752 | AMOUNT: Rs. 190400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1905 | REF: TXN-00024765 | AMOUNT: Rs. 190500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1906 | REF: TXN-00024778 | AMOUNT: Rs. 190600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1907 | REF: TXN-00024791 | AMOUNT: Rs. 190700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1908 | REF: TXN-00024804 | AMOUNT: Rs. 190800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1909 | REF: TXN-00024817 | AMOUNT: Rs. 190900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1910 | REF: TXN-00024830 | AMOUNT: Rs. 191000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1911 | REF: TXN-00024843 | AMOUNT: Rs. 191100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1912 | REF: TXN-00024856 | AMOUNT: Rs. 191200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1913 | REF: TXN-00024869 | AMOUNT: Rs. 191300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1914 | REF: TXN-00024882 | AMOUNT: Rs. 191400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1915 | REF: TXN-00024895 | AMOUNT: Rs. 191500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1916 | REF: TXN-00024908 | AMOUNT: Rs. 191600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1917 | REF: TXN-00024921 | AMOUNT: Rs. 191700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1918 | REF: TXN-00024934 | AMOUNT: Rs. 191800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1919 | REF: TXN-00024947 | AMOUNT: Rs. 191900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1920 | REF: TXN-00024960 | AMOUNT: Rs. 192000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1921 | REF: TXN-00024973 | AMOUNT: Rs. 192100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1922 | REF: TXN-00024986 | AMOUNT: Rs. 192200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1923 | REF: TXN-00024999 | AMOUNT: Rs. 192300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1924 | REF: TXN-00025012 | AMOUNT: Rs. 192400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1925 | REF: TXN-00025025 | AMOUNT: Rs. 192500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1926 | REF: TXN-00025038 | AMOUNT: Rs. 192600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1927 | REF: TXN-00025051 | AMOUNT: Rs. 192700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1928 | REF: TXN-00025064 | AMOUNT: Rs. 192800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1929 | REF: TXN-00025077 | AMOUNT: Rs. 192900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1930 | REF: TXN-00025090 | AMOUNT: Rs. 193000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1931 | REF: TXN-00025103 | AMOUNT: Rs. 193100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1932 | REF: TXN-00025116 | AMOUNT: Rs. 193200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1933 | REF: TXN-00025129 | AMOUNT: Rs. 193300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1934 | REF: TXN-00025142 | AMOUNT: Rs. 193400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1935 | REF: TXN-00025155 | AMOUNT: Rs. 193500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1936 | REF: TXN-00025168 | AMOUNT: Rs. 193600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1937 | REF: TXN-00025181 | AMOUNT: Rs. 193700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1938 | REF: TXN-00025194 | AMOUNT: Rs. 193800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1939 | REF: TXN-00025207 | AMOUNT: Rs. 193900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1940 | REF: TXN-00025220 | AMOUNT: Rs. 194000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1941 | REF: TXN-00025233 | AMOUNT: Rs. 194100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1942 | REF: TXN-00025246 | AMOUNT: Rs. 194200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1943 | REF: TXN-00025259 | AMOUNT: Rs. 194300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1944 | REF: TXN-00025272 | AMOUNT: Rs. 194400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1945 | REF: TXN-00025285 | AMOUNT: Rs. 194500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1946 | REF: TXN-00025298 | AMOUNT: Rs. 194600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1947 | REF: TXN-00025311 | AMOUNT: Rs. 194700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1948 | REF: TXN-00025324 | AMOUNT: Rs. 194800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1949 | REF: TXN-00025337 | AMOUNT: Rs. 194900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1950 | REF: TXN-00025350 | AMOUNT: Rs. 195000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1951 | REF: TXN-00025363 | AMOUNT: Rs. 195100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1952 | REF: TXN-00025376 | AMOUNT: Rs. 195200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1953 | REF: TXN-00025389 | AMOUNT: Rs. 195300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1954 | REF: TXN-00025402 | AMOUNT: Rs. 195400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1955 | REF: TXN-00025415 | AMOUNT: Rs. 195500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1956 | REF: TXN-00025428 | AMOUNT: Rs. 195600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1957 | REF: TXN-00025441 | AMOUNT: Rs. 195700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1958 | REF: TXN-00025454 | AMOUNT: Rs. 195800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1959 | REF: TXN-00025467 | AMOUNT: Rs. 195900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1960 | REF: TXN-00025480 | AMOUNT: Rs. 196000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1961 | REF: TXN-00025493 | AMOUNT: Rs. 196100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1962 | REF: TXN-00025506 | AMOUNT: Rs. 196200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1963 | REF: TXN-00025519 | AMOUNT: Rs. 196300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1964 | REF: TXN-00025532 | AMOUNT: Rs. 196400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1965 | REF: TXN-00025545 | AMOUNT: Rs. 196500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1966 | REF: TXN-00025558 | AMOUNT: Rs. 196600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1967 | REF: TXN-00025571 | AMOUNT: Rs. 196700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1968 | REF: TXN-00025584 | AMOUNT: Rs. 196800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1969 | REF: TXN-00025597 | AMOUNT: Rs. 196900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1970 | REF: TXN-00025610 | AMOUNT: Rs. 197000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1971 | REF: TXN-00025623 | AMOUNT: Rs. 197100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1972 | REF: TXN-00025636 | AMOUNT: Rs. 197200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1973 | REF: TXN-00025649 | AMOUNT: Rs. 197300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1974 | REF: TXN-00025662 | AMOUNT: Rs. 197400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1975 | REF: TXN-00025675 | AMOUNT: Rs. 197500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1976 | REF: TXN-00025688 | AMOUNT: Rs. 197600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1977 | REF: TXN-00025701 | AMOUNT: Rs. 197700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1978 | REF: TXN-00025714 | AMOUNT: Rs. 197800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1979 | REF: TXN-00025727 | AMOUNT: Rs. 197900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1980 | REF: TXN-00025740 | AMOUNT: Rs. 198000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1981 | REF: TXN-00025753 | AMOUNT: Rs. 198100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1982 | REF: TXN-00025766 | AMOUNT: Rs. 198200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1983 | REF: TXN-00025779 | AMOUNT: Rs. 198300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1984 | REF: TXN-00025792 | AMOUNT: Rs. 198400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1985 | REF: TXN-00025805 | AMOUNT: Rs. 198500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1986 | REF: TXN-00025818 | AMOUNT: Rs. 198600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1987 | REF: TXN-00025831 | AMOUNT: Rs. 198700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1988 | REF: TXN-00025844 | AMOUNT: Rs. 198800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1989 | REF: TXN-00025857 | AMOUNT: Rs. 198900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1990 | REF: TXN-00025870 | AMOUNT: Rs. 199000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1991 | REF: TXN-00025883 | AMOUNT: Rs. 199100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1992 | REF: TXN-00025896 | AMOUNT: Rs. 199200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1993 | REF: TXN-00025909 | AMOUNT: Rs. 199300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1994 | REF: TXN-00025922 | AMOUNT: Rs. 199400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1995 | REF: TXN-00025935 | AMOUNT: Rs. 199500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1996 | REF: TXN-00025948 | AMOUNT: Rs. 199600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1997 | REF: TXN-00025961 | AMOUNT: Rs. 199700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1998 | REF: TXN-00025974 | AMOUNT: Rs. 199800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1999 | REF: TXN-00025987 | AMOUNT: Rs. 199900.00 | STATUS: CLEARED
TRANSACTION ENTRY #2000 | REF: TXN-00026000 | AMOUNT: Rs. 200000.00 | STATUS: CLEARED
TRANSACTION ENTRY #2001 | REF: TXN-00026013 | AMOUNT: Rs. 200100.00 | STATUS: CLEARED
TRANSACTION ENTRY #2002 | REF: TXN-00026026 | AMOUNT: Rs. 200200.00 | STATUS: CLEARED
TRANSACTION ENTRY #2003 | REF: TXN-00026039 | AMOUNT: Rs. 200300.00 | STATUS: CLEARED
TRANSACTION ENTRY #2004 | REF: TXN-00026052 | AMOUNT: Rs. 200400.00 | STATUS: CLEARED
TRANSACTION ENTRY #2005 | REF: TXN-00026065 | AMOUNT: Rs. 200500.00 | STATUS: CLEARED
TRANSACTION ENTRY #2006 | REF: TXN-00026078 | AMOUNT: Rs. 200600.00 | STATUS: CLEARED
TRANSACTION ENTRY #2007 | REF: TXN-00026091 | AMOUNT: Rs. 200700.00 | STATUS: CLEARED
TRANSACTION ENTRY #2008 | REF: TXN-00026104 | AMOUNT: Rs. 200800.00 | STATUS: CLEARED
TRANSACTION ENTRY #2009 | REF: TXN-00026117 | AMOUNT: Rs. 200900.00 | STATUS: CLEARED
TRANSACTION ENTRY #2010 | REF: TXN-00026130 | AMOUNT: Rs. 201000.00 | STATUS: CLEARED
TRANSACTION ENTRY #2011 | REF: TXN-00026143 | AMOUNT: Rs. 201100.00 | STATUS: CLEARED
TRANSACTION ENTRY #2012 | REF: TXN-00026156 | AMOUNT: Rs. 201200.00 | STATUS: CLEARED
TRANSACTION ENTRY #2013 | REF: TXN-00026169 | AMOUNT: Rs. 201300.00 | STATUS: CLEARED
TRANSACTION ENTRY #2014 | REF: TXN-00026182 | AMOUNT: Rs. 201400.00 | STATUS: CLEARED
TRANSACTION ENTRY #2015 | REF: TXN-00026195 | AMOUNT: Rs. 201500.00 | STATUS: CLEARED
TRANSACTION ENTRY #2016 | REF: TXN-00026208 | AMOUNT: Rs. 201600.00 | STATUS: CLEARED
TRANSACTION ENTRY #2017 | REF: TXN-00026221 | AMOUNT: Rs. 201700.00 | STATUS: CLEARED
TRANSACTION ENTRY #2018 | REF: TXN-00026234 | AMOUNT: Rs. 201800.00 | STATUS: CLEARED
TRANSACTION ENTRY #2019 | REF: TXN-00026247 | AMOUNT: Rs. 201900.00 | STATUS: CLEARED
TRANSACTION ENTRY #2020 | REF: TXN-00026260 | AMOUNT: Rs. 202000.00 | STATUS: CLEARED
TRANSACTION ENTRY #2021 | REF: TXN-00026273 | AMOUNT: Rs. 202100.00 | STATUS: CLEARED
TRANSACTION ENTRY #2022 | REF: TXN-00026286 | AMOUNT: Rs. 202200.00 | STATUS: CLEARED
TRANSACTION ENTRY #2023 | REF: TXN-00026299 | AMOUNT: Rs. 202300.00 | STATUS: CLEARED
TRANSACTION ENTRY #2024 | REF: TXN-00026312 | AMOUNT: Rs. 202400.00 | STATUS: CLEARED
TRANSACTION ENTRY #2025 | REF: TXN-00026325 | AMOUNT: Rs. 202500.00 | STATUS: CLEARED
TRANSACTION ENTRY #2026 | REF: TXN-00026338 | AMOUNT: Rs. 202600.00 | STATUS: CLEARED
TRANSACTION ENTRY #2027 | REF: TXN-00026351 | AMOUNT: Rs. 202700.00 | STATUS: CLEARED
TRANSACTION ENTRY #2028 | REF: TXN-00026364 | AMOUNT: Rs. 202800.00 | STATUS: CLEARED
TRANSACTION ENTRY #2029 | REF: TXN-00026377 | AMOUNT: Rs. 202900.00 | STATUS: CLEARED
TRANSACTION ENTRY #2030 | REF: TXN-00026390 | AMOUNT: Rs. 203000.00 | STATUS: CLEARED
TRANSACTION ENTRY #2031 | REF: TXN-00026403 | AMOUNT: Rs. 203100.00 | STATUS: CLEARED
TRANSACTION ENTRY #2032 | REF: TXN-00026416 | AMOUNT: Rs. 203200.00 | STATUS: CLEARED
TRANSACTION ENTRY #2033 | REF: TXN-00026429 | AMOUNT: Rs. 203300.00 | STATUS: CLEARED
TRANSACTION ENTRY #2034 | REF: TXN-00026442 | AMOUNT: Rs. 203400.00 | STATUS: CLEARED
TRANSACTION ENTRY #2035 | REF: TXN-00026455 | AMOUNT: Rs. 203500.00 | STATUS: CLEARED
TRANSACTION ENTRY #2036 | REF: TXN-00026468 | AMOUNT: Rs. 203600.00 | STATUS: CLEARED
TRANSACTION ENTRY #2037 | REF: TXN-00026481 | AMOUNT: Rs. 203700.00 | STATUS: CLEARED
TRANSACTION ENTRY #2038 | REF: TXN-00026494 | AMOUNT: Rs. 203800.00 | STATUS: CLEARED
TRANSACTION ENTRY #2039 | REF: TXN-00026507 | AMOUNT: Rs. 203900.00 | STATUS: CLEARED
TRANSACTION ENTRY #2040 | REF: TXN-00026520 | AMOUNT: Rs. 204000.00 | STATUS: CLEARED
TRANSACTION ENTRY #2041 | REF: TXN-00026533 | AMOUNT: Rs. 204100.00 | STATUS: CLEARED
TRANSACTION ENTRY #2042 | REF: TXN-00026546 | AMOUNT: Rs. 204200.00 | STATUS: CLEARED
TRANSACTION ENTRY #2043 | REF: TXN-00026559 | AMOUNT: Rs. 204300.00 | STATUS: CLEARED
TRANSACTION ENTRY #2044 | REF: TXN-00026572 | AMOUNT: Rs. 204400.00 | STATUS: CLEARED
TRANSACTION ENTRY #2045 | REF: TXN-00026585 | AMOUNT: Rs. 204500.00 | STATUS: CLEARED
TRANSACTION ENTRY #2046 | REF: TXN-00026598 | AMOUNT: Rs. 204600.00 | STATUS: CLEARED
TRANSACTION ENTRY #2047 | REF: TXN-00026611 | AMOUNT: Rs. 204700.00 | STATUS: CLEARED
TRANSACTION ENTRY #2048 | REF: TXN-00026624 | AMOUNT: Rs. 204800.00 | STATUS: CLEARED
TRANSACTION ENTRY #2049 | REF: TXN-00026637 | AMOUNT: Rs. 204900.00 | STATUS: CLEARED
TRANSACTION ENTRY #2050 | REF: TXN-00026650 | AMOUNT: Rs. 205000.00 | STATUS: CLEARED
TRANSACTION ENTRY #2051 | REF: TXN-00026663 | AMOUNT: Rs. 205100.00 | STATUS: CLEARED
TRANSACTION ENTRY #2052 | REF: TXN-00026676 | AMOUNT: Rs. 205200.00 | STATUS: CLEARED
TRANSACTION ENTRY #2053 | REF: TXN-00026689 | AMOUNT: Rs. 205300.00 | STATUS: CLEARED
TRANSACTION ENTRY #2054 | REF: TXN-00026702 | AMOUNT: Rs. 205400.00 | STATUS: CLEARED
TRANSACTION ENTRY #2055 | REF: TXN-00026715 | AMOUNT: Rs. 205500.00 | STATUS: CLEARED
TRANSACTION ENTRY #2056 | REF: TXN-00026728 | AMOUNT: Rs. 205600.00 | STATUS: CLEARED
TRANSACTION ENTRY #2057 | REF: TXN-00026741 | AMOUNT: Rs. 205700.00 | STATUS: CLEARED
TRANSACTION ENTRY #2058 | REF: TXN-00026754 | AMOUNT: Rs. 205800.00 | STATUS: CLEARED
TRANSACTION ENTRY #2059 | REF: TXN-00026767 | AMOUNT: Rs. 205900.00 | STATUS: CLEARED
TRANSACTION ENTRY #2060 | REF: TXN-00026780 | AMOUNT: Rs. 206000.00 | STATUS: CLEARED
TRANSACTION ENTRY #2061 | REF: TXN-00026793 | AMOUNT: Rs. 206100.00 | STATUS: CLEARED
TRANSACTION ENTRY #2062 | REF: TXN-00026806 | AMOUNT: Rs. 206200.00 | STATUS: CLEARED
TRANSACTION ENTRY #2063 | REF: TXN-00026819 | AMOUNT: Rs. 206300.00 | STATUS: CLEARED
TRANSACTION ENTRY #2064 | REF: TXN-00026832 | AMOUNT: Rs. 206400.00 | STATUS: CLEARED
TRANSACTION ENTRY #2065 | REF: TXN-00026845 | AMOUNT: Rs. 206500.00 | STATUS: CLEARED
TRANSACTION ENTRY #2066 | REF: TXN-00026858 | AMOUNT: Rs. 206600.00 | STATUS: CLEARED
TRANSACTION ENTRY #2067 | REF: TXN-00026871 | AMOUNT: Rs. 206700.00 | STATUS: CLEARED
TRANSACTION ENTRY #2068 | REF: TXN-00026884 | AMOUNT: Rs. 206800.00 | STATUS: CLEARED
TRANSACTION ENTRY #2069 | REF: TXN-00026897 | AMOUNT: Rs. 206900.00 | STATUS: CLEARED
TRANSACTION ENTRY #2070 | REF: TXN-00026910 | AMOUNT: Rs. 207000.00 | STATUS: CLEARED
TRANSACTION ENTRY #2071 | REF: TXN-00026923 | AMOUNT: Rs. 207100.00 | STATUS: CLEARED
TRANSACTION ENTRY #2072 | REF: TXN-00026936 | AMOUNT: Rs. 207200.00 | STATUS: CLEARED
TRANSACTION ENTRY #2073 | REF: TXN-00026949 | AMOUNT: Rs. 207300.00 | STATUS: CLEARED
TRANSACTION ENTRY #2074 | REF: TXN-00026962 | AMOUNT: Rs. 207400.00 | STATUS: CLEARED
TRANSACTION ENTRY #2075 | REF: TXN-00026975 | AMOUNT: Rs. 207500.00 | STATUS: CLEARED
TRANSACTION ENTRY #2076 | REF: TXN-00026988 | AMOUNT: Rs. 207600.00 | STATUS: CLEARED
TRANSACTION ENTRY #2077 | REF: TXN-00027001 | AMOUNT: Rs. 207700.00 | STATUS: CLEARED
TRANSACTION ENTRY #2078 | REF: TXN-00027014 | AMOUNT: Rs. 207800.00 | STATUS: CLEARED
TRANSACTION ENTRY #2079 | REF: TXN-00027027 | AMOUNT: Rs. 207900.00 | STATUS: CLEARED
TRANSACTION ENTRY #2080 | REF: TXN-00027040 | AMOUNT: Rs. 208000.00 | STATUS: CLEARED
TRANSACTION ENTRY #2081 | REF: TXN-00027053 | AMOUNT: Rs. 208100.00 | STATUS: CLEARED
TRANSACTION ENTRY #2082 | REF: TXN-00027066 | AMOUNT: Rs. 208200.00 | STATUS: CLEARED
TRANSACTION ENTRY #2083 | REF: TXN-00027079 | AMOUNT: Rs. 208300.00 | STATUS: CLEARED
TRANSACTION ENTRY #2084 | REF: TXN-00027092 | AMOUNT: Rs. 208400.00 | STATUS: CLEARED
TRANSACTION ENTRY #2085 | REF: TXN-00027105 | AMOUNT: Rs. 208500.00 | STATUS: CLEARED
TRANSACTION ENTRY #2086 | REF: TXN-00027118 | AMOUNT: Rs. 208600.00 | STATUS: CLEARED
TRANSACTION ENTRY #2087 | REF: TXN-00027131 | AMOUNT: Rs. 208700.00 | STATUS: CLEARED
TRANSACTION ENTRY #2088 | REF: TXN-00027144 | AMOUNT: Rs. 208800.00 | STATUS: CLEARED
TRANSACTION ENTRY #2089 | REF: TXN-00027157 | AMOUNT: Rs. 208900.00 | STATUS: CLEARED
TRANSACTION ENTRY #2090 | REF: TXN-00027170 | AMOUNT: Rs. 209000.00 | STATUS: CLEARED
TRANSACTION ENTRY #2091 | REF: TXN-00027183 | AMOUNT: Rs. 209100.00 | STATUS: CLEARED
TRANSACTION ENTRY #2092 | REF: TXN-00027196 | AMOUNT: Rs. 209200.00 | STATUS: CLEARED
TRANSACTION ENTRY #2093 | REF: TXN-00027209 | AMOUNT: Rs. 209300.00 | STATUS: CLEARED
TRANSACTION ENTRY #2094 | REF: TXN-00027222 | AMOUNT: Rs. 209400.00 | STATUS: CLEARED
TRANSACTION ENTRY #2095 | REF: TXN-00027235 | AMOUNT: Rs. 209500.00 | STATUS: CLEARED
TRANSACTION ENTRY #2096 | REF: TXN-00027248 | AMOUNT: Rs. 209600.00 | STATUS: CLEARED
